elapsed_wall_ms,cpu_user_ms,cpu_sys_ms,cpu_total_ms,source
366.242,273.082,84.334,357.416,zip
635.62,472.783,71.513,544.296,zip
394.547,319.701,55.947,375.648,zip
363.339,297.998,55.626,353.624,zip
429.789,288.597,126.508,415.105,zip
528.717,402.196,112.615,514.811,zip
415.411,288.663,116.267,404.93,zip
487.707,369.931,104.545,474.476,zip
566.845,414.214,140.752,554.966,zip
501.318,412.541,80.105,492.646,zip
519.391,379.664,119.893,499.557,zip
594.902,410.779,151.549,562.328,zip
404.459,243.699,143.822,387.521,zip
548.683,386.721,151.499,538.22,zip
464.667,350.098,100.603,450.701,zip
352.484,275.717,52.71,328.427,zip
433.156,317.598,104.525,422.123,zip
538.207,384.558,122.899,507.457,zip
487.247,377.776,91.461,469.237,zip
680.406,503.772,151.931,655.703,zip
536.622,384.272,141.573,525.845,zip
702.036,542.248,142.488,684.736,zip
646.868,488.467,137.873,626.34,zip
548.385,432.023,91.16,523.183,zip
440.563,305.284,118.942,424.226,zip
583.479,413.385,148.497,561.882,zip
621.253,476.069,124.018,600.087,zip
547.138,417.633,107.391,525.024,zip
528.592,384.585,128.195,512.78,zip
513.818,368.023,113.539,481.562,zip
447.287,345.137,82.175,427.312,zip
530.934,363.108,149.277,512.385,zip
635.74,499.309,123.828,623.137,zip
546.581,388.073,148.028,536.101,zip
669.736,490.578,151.56,642.138,zip
655.892,502.106,140.589,642.695,zip
699.93,577.739,108.326,686.065,zip
566.927,428.746,128.223,556.969,zip
532.43,379.71,131.899,511.609,zip
472.247,328.07,121.507,449.577,zip
458.786,356.941,92.243,449.184,zip
425.84,298.433,107.436,405.869,zip
553.347,410.167,131.412,541.579,zip
612.714,426.535,159.452,585.987,zip
518.7,369.27,138.972,508.242,zip
421.798,298.418,112.915,411.333,zip
571.713,425.631,129.716,555.347,zip
390.115,259.649,117.653,377.302,zip
498.586,349.295,130.985,480.28,zip
524.548,388.553,124.176,512.729,zip
617.349,430.588,151.503,582.091,zip
401.257,291.926,99.974,391.9,zip
544.79,397.289,135.078,532.367,zip
458.187,326.786,119.556,446.342,zip
498.796,344.349,138.531,482.88,zip
554.27,387.298,142.273,529.571,zip
519.713,378.198,119.431,497.629,zip
516.444,384.672,107.073,491.745,zip
559.583,350.719,177.329,528.048,zip
514.285,335.933,152.341,488.274,zip
465.578,326.107,124.806,450.913,zip
552.409,413.951,116.549,530.5,zip
600.819,433.911,155.252,589.163,zip
558.164,404.669,132.218,536.887,zip
451.62,304.909,122.755,427.664,zip
522.582,378.674,119.581,498.255,zip
707.86,541.013,140.262,681.275,zip
487.07,356.392,108.119,464.511,zip
556.029,426.915,100.687,527.602,zip
445.813,352.452,80.102,432.554,zip
517.643,367.561,135.837,503.398,zip
573.974,425.688,135.265,560.953,zip
502.834,353.447,132.542,485.989,zip
581.201,430.238,135.445,565.683,zip
565.554,409.198,135.075,544.273,zip
544.554,410.122,111.489,521.611,zip
522.138,373.256,135.007,508.263,zip
531.077,395.649,123.89,519.539,zip
335.667,221.895,96.827,318.722,zip
496.835,345.501,138.995,484.496,zip
477.277,364.238,88.057,452.295,zip
553.634,417.664,121.649,539.313,zip
494.553,362.506,103.573,466.079,zip
436.784,329.711,95.338,425.049,zip
497.584,346.775,129.032,475.807,zip
694.441,569.534,108.291,677.825,zip
471.105,344.847,113.596,458.443,zip
347.441,248.749,80.241,328.99,zip
577.275,407.61,135.87,543.48,zip
